place_id,place_name,category,city,state,latitude,longitude,rating,review_count,price_range,indoor_outdoor,crowd_level,opening_hours,wheelchair_accessible,ramp_available,accessible_washroom,elevator_available,accessible_parking,visually_impaired_support,hearing_impaired_support,family_friendly,pet_friendly,public_transport_access,accessibility_score,distance_from_metro_km,distance_from_bus_stop_km,wifi_available,air_conditioned,study_friendly,work_friendly,group_friendly,senior_citizen_friendly,children_friendly,safety_score,cleanliness_score,service_score,ambience_score,tags,user_id,user_age_group,user_budget_preference,user_preferred_category,user_accessibility_need,interaction_type,user_rating_given,visit_frequency,time_spent_minutes,would_revisit,timestamp
PL0029,Third Wave Coffee - Mumbai,Cafe,Mumbai,Maharashtra,19.056422,72.797929,4.3,1940,Moderate,Outdoor,Low,10:00 AM - 6:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,6.5,4.43,0.71,Yes,No,No,No,Yes,No,Yes,6.2,7.5,8.4,8.6,pet friendly|wifi|outdoor seating|near metro|wheelchair friendly|accessible washroom,U0029,55+,Budget,Mall,Elderly,clicked,,,4,,1/6/2024 14:21
PL0030,Monsoon Cafe - Pune,Cafe,Pune,Maharashtra,18.469492,73.757546,3.4,4491,Budget,Outdoor,Low,10:00 AM - 6:00 PM,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,7.5,0.12,1.03,No,Yes,Yes,Yes,No,No,Yes,8.1,8.5,6.8,6.8,budget friendly|work friendly|cozy|vegan options|wheelchair friendly|accessible washroom|near metro,U0030,55+,Moderate,Cafe,Visually Impaired,clicked,,,4,,4/28/2024 12:34
PL0031,The Daily Grind - Bengaluru,Cafe,Bengaluru,Karnataka,13.062596,77.64781,2.1,1994,Moderate,Indoor,Medium,11:00 AM - 11:00 PM,No,Yes,No,No,No,Yes,No,No,No,No,2.8,4.78,0.67,Yes,Yes,No,Yes,Yes,No,No,5.4,5.8,6.8,6.4,student hangout|quiet study|outdoor seating|near metro,U0031,18-24,Budget,Museum,Elderly,clicked,,,8,,8/4/2023 20:41
PL0032,Coffee By Di Bella - Hyderabad,Cafe,Hyderabad,Telangana,17.318092,78.483585,2.7,8419,Moderate,Outdoor,Low,24 Hours,No,No,Yes,No,Yes,No,No,Yes,No,No,2.4,3.77,2.36,Yes,Yes,Yes,No,No,Yes,No,6.1,6.4,7.4,6.5,work friendly|outdoor seating|vegan options|artisanal coffee|accessible washroom|senior friendly,U0032,18-24,Premium,Tourist Attraction,Family with Kids,visited,3.7,occasional,158,yes,9/23/2023 8:45
PL0033,Brew & Banter - Chennai,Cafe,Chennai,Tamil Nadu,13.090488,80.218996,2.3,7561,Budget,Indoor,High,7:00 AM - 11:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,6.5,0.45,1.46,Yes,Yes,Yes,Yes,No,No,Yes,6.2,7.1,6.2,5.8,outdoor seating|vegan options|near metro|wifi|wheelchair friendly|accessible washroom,U0033,18-24,Moderate,Cafe,None,rated,4.2,occasional,131,yes,8/25/2024 19:36
PL0034,Sleepy Owl Cafe - Kolkata,Cafe,Kolkata,West Bengal,22.62843,88.401628,2.8,7262,Premium,Outdoor,Medium,8:00 AM - 8:00 PM,No,No,Yes,No,Yes,No,No,Yes,No,No,2.4,2.19,0.93,No,Yes,Yes,Yes,No,No,Yes,7.2,6.6,7.5,7.4,student hangout|breakfast spot|artisanal coffee|outdoor seating|accessible washroom,U0034,25-34,Premium,Cafe,Visually Impaired,visited,3.5,frequent,166,no,11/28/2024 15:33
PL0035,Kopi Korridor - Ahmedabad,Cafe,Ahmedabad,Gujarat,23.101461,72.657354,3.7,6463,Budget,Outdoor,Low,9:00 AM - 6:00 PM,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,7.7,3.19,0.61,Yes,Yes,Yes,Yes,Yes,No,Yes,7.1,7.6,8,8,breakfast spot|student hangout|artisanal coffee|outdoor seating|wheelchair friendly|accessible washroom,U0035,25-34,Premium,Museum,None,saved,,,2,,10/10/2023 8:50
PL0036,Brew & Banter - Jaipur,Cafe,Jaipur,Rajasthan,26.903512,75.812632,3.6,444,Budget,Outdoor,Medium,24 Hours,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,6.6,2.42,2.97,Yes,Yes,No,Yes,Yes,No,No,6.6,8,7.4,7.2,budget friendly|cozy|work friendly|vegan options|wheelchair friendly|accessible washroom|near metro,U0036,25-34,Budget,Shopping Center,None,saved,,,3,,10/22/2023 16:17
PL0037,Mr Brown Coffee - Delhi,Cafe,Delhi,Delhi,28.612489,77.129459,3.9,9229,Budget,Both,Medium,10:00 AM - 11:00 PM,No,No,No,No,No,No,Yes,Yes,Yes,Yes,1.3,4.54,1.84,No,No,Yes,No,No,No,Yes,5.9,6.7,8.5,7.1,outdoor seating|quiet study|cozy|vegan options|near metro,U0037,18-24,Budget,Cafe,None,visited,3.9,first_time,58,yes,9/26/2024 11:21
PL0038,Roastery Coffee House - Noida,Cafe,Noida,Uttar Pradesh,28.642161,77.491417,2.3,3507,Budget,Outdoor,Low,24 Hours,No,No,No,No,No,No,No,Yes,No,No,0.2,3.61,2.67,Yes,Yes,No,Yes,No,Yes,Yes,5.6,6.4,6.9,6.3,vegan options|outdoor seating|near metro|artisanal coffee|senior friendly,U0038,18-24,Moderate,Cafe,None,visited,2.5,first_time,125,yes,2/6/2024 10:46
PL0039,Kaleidoscope Coffee - Ghaziabad,Cafe,Ghaziabad,Uttar Pradesh,28.767818,77.561116,2.7,3707,Premium,Outdoor,Low,10:00 AM - 8:00 PM,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,7.7,0.52,1.82,Yes,Yes,No,No,Yes,No,No,6.6,7.8,6.3,7,budget friendly|breakfast spot|near metro|vegan options|wheelchair friendly|accessible washroom,U0039,55+,Premium,Restaurant,Family with Kids,viewed,,,4,,7/29/2023 17:13
PL0040,Perch Wine & Coffee - Gurugram,Cafe,Gurugram,Haryana,28.540794,76.910171,2.3,7358,Budget,Both,Low,8:00 AM - 8:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,6.4,3.46,1.49,Yes,Yes,Yes,Yes,No,No,Yes,7.1,7.5,6,6.8,quiet study|artisanal coffee|vegan options|work friendly|wheelchair friendly|accessible washroom|near metro,U0040,25-34,Budget,Cafe,Hearing Impaired,clicked,,,10,,9/20/2024 16:37
PL0041,Bean There Cafe - Mumbai,Cafe,Mumbai,Maharashtra,19.159151,72.843146,3,1552,Premium,Outdoor,High,10:00 AM - 11:00 PM,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,4.3,2.76,1.37,Yes,Yes,Yes,Yes,No,No,No,6.2,7,7.5,7.7,work friendly|vegan options|artisanal coffee|cozy|wheelchair friendly|accessible washroom|near metro,U0041,55+,Premium,Cafe,None,saved,,,8,,8/21/2024 17:53
PL0042,Brew & Banter - Pune,Cafe,Pune,Maharashtra,18.422155,73.892201,4.3,139,Moderate,Indoor,Low,9:00 AM - 9:00 PM,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,6.5,4.75,1,Yes,Yes,Yes,No,No,No,No,7.3,7.5,8.3,8.4,artisanal coffee|wifi|vegan options|cozy|wheelchair friendly|accessible washroom|near metro,U0042,45-54,Budget,Cinema,Visually Impaired,clicked,,,8,,3/14/2023 18:06
PL0043,Velvet Bean - Bengaluru,Cafe,Bengaluru,Karnataka,13.077935,77.507698,4.8,5102,Moderate,Indoor,Low,7:00 AM - 11:00 PM,No,No,No,No,Yes,No,No,Yes,No,No,1,0.6,2.11,Yes,Yes,Yes,Yes,Yes,No,Yes,6,6.3,8.5,7.6,artisanal coffee|wifi|budget friendly|student hangout,U0043,35-44,Budget,Cafe,None,visited,3.7,occasional,153,yes,1/24/2023 14:19
PL0044,Third Wave Coffee - Hyderabad,Cafe,Hyderabad,Telangana,17.307399,78.418644,3,9724,Budget,Outdoor,Medium,24 Hours,No,No,No,No,Yes,No,No,Yes,No,Yes,1.1,4.2,2.57,No,Yes,Yes,Yes,Yes,Yes,Yes,5.4,7.2,7.5,7.6,quiet study|vegan options|budget friendly|pet friendly|near metro|senior friendly,U0044,35-44,Moderate,Park,Elderly,viewed,,,4,,12/17/2024 9:58
PL0045,Bean There Cafe - Chennai,Cafe,Chennai,Tamil Nadu,13.119186,80.328902,3.9,8696,Moderate,Indoor,High,7:00 AM - 9:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,6.4,3.14,2.51,Yes,No,No,No,Yes,No,Yes,7.4,8.1,8.2,7.7,cozy|quiet study|student hangout|wifi|wheelchair friendly|accessible washroom|near metro,U0045,35-44,Premium,Shopping Center,Visually Impaired,saved,,,5,,7/27/2024 16:34
PL0046,The Roast Room - Kolkata,Cafe,Kolkata,West Bengal,22.604512,88.463796,4.2,1140,Budget,Indoor,High,9:00 AM - 6:00 PM,Yes,No,Yes,No,No,No,No,No,No,Yes,4,0.76,1.12,Yes,Yes,Yes,Yes,No,No,Yes,6.5,7.1,7.3,8.4,budget friendly|pet friendly|vegan options|breakfast spot|wheelchair friendly|accessible washroom|near metro,U0046,35-44,Moderate,Park,Hearing Impaired,viewed,,,5,,5/5/2024 22:10
PL0047,Brewberrys - Ahmedabad,Cafe,Ahmedabad,Gujarat,23.1012,72.559148,4,875,Moderate,Indoor,Medium,10:00 AM - 11:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,6.5,0.36,1.09,Yes,No,Yes,Yes,Yes,No,Yes,7.7,8.3,8.5,7.6,quiet study|budget friendly|pet friendly|student hangout|wheelchair friendly|accessible washroom|near metro,U0047,55+,Premium,Cafe,Hearing Impaired,viewed,,,1,,9/16/2023 11:01
PL0048,Velvet Bean - Jaipur,Cafe,Jaipur,Rajasthan,26.979836,75.864458,3.6,2105,Premium,Both,High,7:00 AM - 11:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,6.3,1.93,1.78,Yes,Yes,No,Yes,Yes,No,Yes,6.6,7.4,7.1,6.8,near metro|student hangout|outdoor seating|pet friendly|wheelchair friendly|accessible washroom,U0048,35-44,Moderate,Coworking Space,Elderly,clicked,,,7,,2/17/2023 18:53
PL0049,Barista Lavazza - Delhi,Cafe,Delhi,Delhi,28.618647,77.322685,4.1,68,Budget,Outdoor,Medium,9:00 AM - 9:00 PM,Yes,No,Yes,No,Yes,No,No,No,No,Yes,5.3,0.55,2.9,Yes,No,No,Yes,Yes,No,No,6.8,7.3,7.5,7.9,student hangout|near metro|vegan options|outdoor seating|wheelchair friendly|accessible washroom,U0049,55+,Budget,Cafe,Elderly,clicked,,,7,,10/4/2023 18:25
PL0050,The Daily Grind - Noida,Cafe,Noida,Uttar Pradesh,28.651037,77.347384,2.9,9397,Moderate,Both,High,9:00 AM - 6:00 PM,No,No,No,Yes,No,No,No,No,No,Yes,1.5,2.98,1.27,Yes,Yes,Yes,Yes,No,Yes,Yes,5.4,7,7.8,6.1,breakfast spot|vegan options|near metro|work friendly|senior friendly,U0050,55+,Budget,Cafe,Elderly,clicked,,,10,,6/11/2023 15:48
PL0051,Caffeine Quarters - Ghaziabad,Cafe,Ghaziabad,Uttar Pradesh,28.739619,77.551116,2.5,8688,Moderate,Indoor,Low,24 Hours,Yes,No,Yes,No,No,No,No,Yes,No,No,3.7,4.86,1.24,Yes,No,Yes,Yes,Yes,Yes,No,6.3,6.9,6.7,7.4,artisanal coffee|outdoor seating|quiet study|near metro|wheelchair friendly|accessible washroom|senior friendly,U0051,18-24,Budget,Cafe,Elderly,clicked,,,3,,11/16/2024 11:54
PL0052,Third Wave Coffee - Gurugram,Cafe,Gurugram,Haryana,28.491315,77.036962,2.3,2451,Moderate,Indoor,Low,9:00 AM - 6:00 PM,No,No,No,No,No,No,No,Yes,Yes,Yes,0.1,4.97,0.32,Yes,Yes,Yes,Yes,No,Yes,Yes,4.8,6,7.1,6.7,work friendly|cozy|artisanal coffee|outdoor seating|near metro|senior friendly,U0052,25-34,Budget,Restaurant,Visually Impaired,clicked,,,5,,10/20/2023 17:12
PL0053,Sleepy Owl Cafe - Mumbai,Cafe,Mumbai,Maharashtra,19.184322,72.839656,3.8,340,Budget,Both,Low,10:00 AM - 11:00 PM,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,6.5,0.76,0.8,Yes,Yes,Yes,Yes,No,No,Yes,6.7,7.8,8.6,6.8,near metro|breakfast spot|artisanal coffee|student hangout|wheelchair friendly|accessible washroom,U0053,45-54,Budget,Cafe,Wheelchair User,rated,5,occasional,124,yes,1/7/2024 17:39
PL0054,Aromas Coffee House - Pune,Cafe,Pune,Maharashtra,18.442596,73.928204,4.9,3201,Budget,Outdoor,High,8:00 AM - 8:00 PM,No,No,Yes,No,Yes,No,No,No,Yes,Yes,2.4,3.77,0.71,No,Yes,Yes,Yes,Yes,No,No,6.2,7.1,8.6,8.4,artisanal coffee|work friendly|wifi|quiet study|accessible washroom|near metro,U0054,45-54,Premium,Coworking Space,Family with Kids,visited,4.9,frequent,72,yes,1/9/2024 9:17
PL0055,Pebble Street Cafe - Bengaluru,Cafe,Bengaluru,Karnataka,12.966555,77.679124,2.4,6312,Budget,Indoor,High,24 Hours,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,4.9,4.31,2.14,Yes,Yes,Yes,Yes,No,No,Yes,5.6,7.3,7.5,7.3,breakfast spot|near metro|quiet study|vegan options|wheelchair friendly,U0055,45-54,Premium,Cafe,Wheelchair User,viewed,,,4,,8/16/2024 15:15
